1544292,1,Substance Painter 2 for All Levels!,substance-painter-2-for-all-levels,An in depth tutorial to 3D texturing through Substance Painter,159.99,1/5/4/4/2/9/2/substance-painter-2-for-all-levels.jpg
1491650,1,"After Effects CC & CS6: Motion Graphics, VFX & Animation",after-effects-cc-cs6-motion-graphics-vfx-animation,"After Effects CC & CS6 Training: Master Motion Graphics, VFX & Animation. Use Kinetic Typography & Visual Effects!",479.99,1/4/9/1/6/5/0/after-effects-cc-cs6-motion-graphics-vfx-animation.jpg
1513508,1,After Effects : Create Text Animation Effects For Beginners!,aftereffectstextanimationmotiongraphics,Learn how to use the extremely powerful Adobe After Effects to create some awesome text animation effects,479.99,1/5/1/3/5/0/8/aftereffectstextanimationmotiongraphics.jpg
1535702,1,Create awesome volumetric spheres in blender,create-awesome-volumetric-spheres-in-blender,"Wanna create awesome effects for any cool sci fi, fantasy, abstract scene, then this is the course for you.",219.99,1/5/3/5/7/0/2/create-awesome-volumetric-spheres-in-blender.jpg
1708134,1,Advanced Maya Course: How to Make a 3D Weapon Model - Part 1,modeling-the-high-quality-melee-weapon-for-game-production,"Learn advanced 3D modeling, texturing, and rendering using Maya to create AAA ready game assets.",479.99,1/7/0/8/1/3/4/modeling-the-high-quality-melee-weapon-for-game-production.jpg
1502088,1,Learn How To Create VFX Smoke Monster,learn-how-to-create-vfx-smoke-monster,Create Smoke VFX Monster using Cinema 4D & Turbulence FD & After Effects,69.99,1/5/0/2/0/8/8/learn-how-to-create-vfx-smoke-monster.jpg
1563666,1,Sculpting a Caricature Character for 3D Printing in ZBrush,sculptingfor3dprinting,Learn how to sculpt a caricature and get it ready for 3D Printing in Zbrush,99.99,1/5/6/3/6/6/6/sculptingfor3dprinting.jpg
191794,1,Master Adobe Edge Animate CC - Edge Animate Made Easy,master-adobe-edge-animate-cc-edge-animate-made-easy,Want to learn how to unleash the power of Adobe Edge Animate and create amazing moving graphics? ,159.99,1/9/1/7/9/4/master-adobe-edge-animate-cc-edge-animate-made-easy.jpg
1698530,1,Learn 3D Facial Rigging For Beginners in 3ds Max,facial-rigging-for-beginners-in-3ds-max-2018,3D Facial Rigging: Build the Skills Needed to Start Rigging you Own Characters' Faces TODAY,479.99,1/6/9/8/5/3/0/facial-rigging-for-beginners-in-3ds-max-2018.jpg
50418,1,"Learn to be an Animator. Part 1. ""Good habits""",intro_to_locomotion,"Hands-on guide to building solid Animation skills, using exercises with increasing complexity.",69.99,5/0/4/1/8/intro_to_locomotion.jpg
1166990,1,Learn to Draw From Your Imagination - Step by Step,ultimate-guide-to-drawing-from-your-imagination-step-by-step,Learn how to take ideas from your head and draw them on paper,449.99,1/1/6/6/9/9/0/ultimate-guide-to-drawing-from-your-imagination-step-by-step.jpg
1219440,1,Blender for VFX - Learn to add realistic CGI into footage,blender-vfx,Learn to use Blender in a professional workflow to create photorealistic CGI renders for your own visual effects shots!,299.99,1/2/1/9/4/4/0/blender-vfx.jpg
42482,1,After Effects: Make 11 Fun After Effects Video Titles,lowerthirds,Learn how to create your own video titles and graphics in Adobe After Effects with this fun project-based course.,299.99,4/2/4/8/2/lowerthirds.jpg
1653834,1,Create a traditional japanese scene in Modo,create-a-traditional-japanese-scene-in-modo,"Model, texture and render a beautiful japanese autumn scene from scratch using MODO",129.99,1/6/5/3/8/3/4/create-a-traditional-japanese-scene-in-modo.jpg
1514082,1,Sketchup 2020 Pro Course with free Revit & 3DS Max Course,sketchup-2018-essentials-training,"Enrol for sketchup and get 3DS Max 2014, Revit 2019 and Sketchup Dynamic Components courses for free",69.99,1/5/1/4/0/8/2/sketchup-2018-essentials-training.jpg
1400790,1,Professional Game Development: 3D Modeling and Unity® C#,3dmodellingunityc,​Complete game development course for beginners! Learn to code from A to Z. Make 3D model projects in Blender 2.78c.,479.99,1/4/0/0/7/9/0/3dmodellingunityc.jpg
1604046,1,Learn After Effects CS6 from Scratch to Professional,learn-after-effects-cs6-from-scratch-to-professional,"Learn from scratch to use After Effects CS6, and become great video designer",69.99,1/6/0/4/0/4/6/learn-after-effects-cs6-from-scratch-to-professional.jpg
1517604,1,Soft Body Physics Simulation Guide in Blender 2.9,blender3dsoftbodysimulation,Learn all about the Soft Body Physics Simulation in Blender!,144.99,1/5/1/7/6/0/4/blender3dsoftbodysimulation.jpg
