id;active;category_id;title;slug;headline;price;image;amount
2595040;1;3;Kurs animowane logo - After  Illustrator;kurs-animowane-logo-after-illustrator;Poznaj wskazówki sztuczki i techniki od doświadczonego projektanta w After Effects.;99,99;https://img-a.udemycdn.com/course/480x270/2595040_5957.jpg?Ez30ubBWq_ye9ZKNPGRn1Y2lHxMF3nTThPLWad-jCW2BnhCH3Vjr5uGijB5BhY0vsXt5UHS9UW6gsRtLSVz-Rg8C6MFWeBY05ht3bbNxfDfp924sKXsyMhsDAYlduQ;1000
2778756;1;3;Kurs Blender - animowany model na podstawie zdjęcia;kurs-blender-animowany-model-na-podstawie-zdjecia;Zrób zdjęcie przerzuć do Blendera i uzyskaj trójwymiarowy animowany model.;99,99;https://img-a.udemycdn.com/course/480x270/2778756_62ec_2.jpg?jLjZ-iTzbnFv0f6MqABn9f19QfExfzaZTwoQ127EcfGkHeMURIYqPTHIET2gyun1AsoUp-SXgqNpeqbdLtumnYFo-vqdsMpcqjbrLNuh5vH82dxcQBo9s8ZJyDACIr6i;1000
1795202;1;3;3ds Max - Zaawansowane techniki modelowania - Turbosmooth;kurs-3ds-max-zaawansowane-techniki-modelowania-turbosmooth;Poznaj narzędzie dzięki któremu modelowanie skomplikowanych kształtów stanie się o wiele prostsze!;379,99;https://img-a.udemycdn.com/course/480x270/1795202_e25a.jpg?RNqtHXnVX0GMrFeKmlaLs_mbphL0OkOF8D-fiUUpB52kp6FvfsaHMBq77v1aIF2CE3tEA7zErbRpFOm5thZpP_emb16UfJXWqrC586hFiDX38Fdpk8GLPdx1D4tv1A;1000
2587236;1;3;Kurs Cinema 4d grafika izometryczna;kurs-cinema-4d-grafika-izometryczna;Ten kompleksowy przewodnik pomoże Ci stworzyć piękne izometryczne sceny za pomocą Cinema 4d. Tego typu rodzaj grafiki je;69,99;https://img-a.udemycdn.com/course/480x270/2587236_60c3_3.jpg?cuGj23o-esV5c7PeNZoWHlexeTKjLw0QuHBd84eN8wCup1USpyL28AFkNQpMGAh2EPVwXkZXI_Mxu7J0x5o_T8h5qCtFPdQvwgCqZRmr9z3gCoMKuRVB1ojxJw1loajB;1000
2536646;1;3;FreeCAD dla początkujących;freecad-dla-poczatkujacych;Podstawy modelowania 3D w systemie FreeCAD;99,99;https://img-b.udemycdn.com/course/480x270/2536646_90db_2.jpg?secure=ShGCV0B6dBdS0UWIq79ptw%3D%3D%2C1607884561;1000
1801384;1;3;Marvelous Designer od podstaw - Symulacje tkanin;kurs-marvelous-designer-od-podstaw-symulacje-tkanin;Chcesz nauczyć się tworzyć realistyczne modele 3d tkanin takich jak zasłony poduszki koce kołdry i wiele innych?;379,99;https://img-a.udemycdn.com/course/480x270/1801384_dc47.jpg?SSfBo4TENTjZRpK4nu9pCnlVlizzz_JIEfWAzZ8HHJNdZQ_KSG6MN69u5HXwDqENoO2XVSuou5Ym9EwII5biNbuAluXqEobXtUpL9E0y4N_KdcB_5-EqNqwvQfx2bw;1000
1761098;1;3;Kurs 3DS Max 3D Studio;kurs-3ds-max;tworzenia grafiki 3D;479,99;https://img-a.udemycdn.com/course/480x270/1761098_be43.jpg?a0pauOST5uGuyc__u8CI5CBHjoN4Ee7Qba3ZuuKOt74WAJGwXy5ZVFQBx8UqL-AksPwPge9wqxEn3yAebsqYQ6zzYy0txlA6kQom5AA4w0B6cSf-vDy2z67JHrt6Vg;1000
1916780;1;3;Kurs Animowane Infografiki w After Effects;kurs-animowane-infografiki-w-after-effects;Praktyczne projekty Infografik Automatyzacja Animacji Tworzenie reklam i prezentacji;174,99;https://img-b.udemycdn.com/course/480x270/1916780_6df9.jpg?secure=EOfRL2ZmFZTgtwqE0yXxvg%3D%3D%2C1607878330;1000
2609250;1;3;Kurs Photoshop  w grafice 3d;kurs-photoshop-w-grafice-3d;Wykorzystaj Photoshopa do tworzenia trójwymiarowych projektów. Przy pomocy kursu zobaczysz jak za pomocą Photoshopa twor;84,99;https://img-b.udemycdn.com/course/480x270/2609250_807b.jpg?secure=n-gG-B54bPFaN3w34XZciw%3D%3D%2C1607867615;1000
1908238;1;3;Kurs Adobe Dimension;kurs-adobe-dimension;od Podstaw;99,99;https://img-b.udemycdn.com/course/480x270/1908238_08a5.jpg?secure=PybV2CVYkgdbw9QcbYwJqw%3D%3D%2C1607878330;1000
